trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
14,0,14,0,3659.1630132002756,3660.162761799991,3660.162761799991,down,1,0.4500281000509858,3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
15,0,15,0,3660.6310074003413,3661.6288590002805,3661.6456130002625,down,1,0.4804619997739792,-4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
16,0,16,0,3662.1305309999734,3663.1288201003335,3663.145538700279,down,1,0.49199740029871464,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
17,0,17,0,3663.645345200319,3664.6455847001635,3664.6455847001635,down,1,0.5815556002780795,-3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
18,0,18,0,3665.2463394999504,3666.2450727000833,3666.261629300192,down,1,0.5301276003010571,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
19,0,19,0,3666.7953623002395,3667.7947951001115,3667.811185600236,down,1,0.5466300002299249,-5,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
20,0,20,0,3668.3619540999644,3669.360933400225,3669.377556500025,up,1,0.43838150007650256,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
21,0,21,0,3669.8278753003106,3670.8269728999585,3670.8269728999585,up,1,0.5753660001792014,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
22,0,22,0,3671.4272320000455,3672.427254400216,3672.427254400216,up,1,0.4732407000847161,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
23,0,23,0,3672.9272106001154,3673.926991000306,3673.926991000306,up,1,0.44263310031965375,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
24,0,24,0,3674.3931567999534,3675.393100500107,3675.393100500107,up,1,0.49270679987967014,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
25,0,25,0,3675.9099846002646,3676.909275600221,3676.909275600221,up,1,0.6555337002500892,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
26,0,26,0,3677.592501900159,3678.592467200011,3678.592467200011,down,1,0.43653109995648265,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
27,0,27,0,3679.0589169999585,3680.058610100299,3680.058610100299,down,1,0.4936608001589775,-4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
28,0,28,0,3680.57594479993,3681.575028600171,3681.575028600171,up,1,0.6363952998071909,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
29,0,29,0,3682.2419221000746,3683.241541400086,3683.241541400086,down,1,0.5359319997951388,-3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
30,0,30,0,3683.808550100308,3684.8077471000142,3684.8077471000142,down,1,0.5967785003595054,3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
31,0,31,0,3685.4247511001304,3686.4239439000376,3686.4239439000376,up,1,0.5479863998480141,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
32,0,32,0,3686.991509300191,3687.990451000165,3687.990451000165,up,1,0.5940462998114526,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
33,0,33,0,3688.6070552999154,3689.606697200332,3689.606697200332,down,0,0.4522051000967622,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
34,0,34,0,3690.089916500263,3691.091018400155,3691.091018400155,up,1,0.9245974998921156,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
35,0,35,0,3692.0395749001764,3693.0398814002983,3693.0398814002983,up,1,0.5130218002013862,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
36,0,36,0,3693.5731994002126,3694.5723908999935,3694.5723908999935,down,1,0.5146935000084341,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
37,0,37,0,3695.108136100229,3696.105803300161,3696.122062700335,down,1,0.5154605000279844,-2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
38,0,38,0,3696.6395604000427,3697.6383529999293,3697.6552216000855,down,1,0.5541246999055147,-4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
